"","all_genes","drivers","suppressors","syml"
"1","VEGFA","VEGFA","THBS1","VEGFA"
"2","VEGFB","VEGFB","THBS2","KDR"
"3","KDR","KDR","TIMP3","PDGFRA"
"4","FLT1","FLT1","COL18A1","HIF1A"
"5","PDGFRA","PDGFRA","SERPINF1","MMP9"
"6","PDGFRB","PDGFRB","CXCL10","THBS1"
"7","TEK","TEK","ADAMTS1","COL18A1"
"8","ANGPT2","ANGPT2","BAI1","SERPINF1"
"9","HIF1A","HIF1A","TNP1",NA
"10","EPAS1","EPAS1","ANGPTL4",NA
"11","PECAM1","PECAM1","IFI27",NA
"12","VWF","VWF","SPINT1",NA
"13","CDH5","CDH5","MASPIN",NA
"14","MMP2","MMP2","TIMP2",NA
"15","MMP9","MMP9","CXCL4",NA
"16","FGF2","FGF2",NA,NA
"17","FGFR1","FGFR1",NA,NA
"18","JAG1","JAG1",NA,NA
"19","DLL4","DLL4",NA,NA
"20","NOTCH1","NOTCH1",NA,NA
"21","THBS1",NA,NA,NA
"22","THBS2",NA,NA,NA
"23","TIMP3",NA,NA,NA
"24","COL18A1",NA,NA,NA
"25","SERPINF1",NA,NA,NA
"26","CXCL10",NA,NA,NA
"27","ADAMTS1",NA,NA,NA
"28","BAI1",NA,NA,NA
"29","TNP1",NA,NA,NA
"30","ANGPTL4",NA,NA,NA
"31","IFI27",NA,NA,NA
"32","SPINT1",NA,NA,NA
"33","MASPIN",NA,NA,NA
"34","TIMP2",NA,NA,NA
"35","CXCL4",NA,NA,NA
